date,temp_max,temp_min,wind_speed,pressure,dew_point,relative_humidity,pm25
2022-04-01,29.4,20.0,5.2,956.2,19.8,73.0,64.0
2022-04-02,29.3,19.7,5.7,959.0,20.5,81.0,61.0
2022-04-03,28.6,21.3,4.5,956.5,19.1,72.0,54.0
2022-04-04,31.3,20.4,5.9,956.8,17.4,62.0,59.0
2022-04-05,32.9,20.7,6.4,959.0,16.4,55.0,59.0
2022-04-06,32.7,21.5,7.1,959.3,17.1,58.0,55.0
2022-04-07,29.7,19.8,6.5,959.1,19.5,72.0,61.0
2022-04-08,30.1,20.3,5.4,957.0,18.8,68.0,59.0
2022-04-09,30.5,19.1,4.3,956.0,18.7,73.0,61.0
2022-04-10,27.8,19.9,3.4,954.6,19.1,77.0,61.0
2022-04-11,29.4,21.1,4.4,954.8,20.2,76.0,49.0
2022-04-12,29.1,21.3,6.2,955.0,20.1,75.0,49.0
2022-04-13,30.0,22.0,5.2,952.8,20.0,71.0,55.0
2022-04-14,33.4,20.2,7.2,951.0,16.1,54.0,43.0
2022-04-15,33.1,20.3,6.2,951.1,10.9,37.0,45.0
2022-04-16,34.4,19.0,6.8,951.1,7.7,31.0,52.0
2022-04-17,34.4,20.0,7.3,952.9,9.8,35.0,78.0
2022-04-18,33.6,21.6,7.8,955.7,16.5,55.0,87.0
2022-04-19,31.7,22.3,7.2,956.5,18.6,62.0,62.0
2022-04-20,29.1,20.7,5.7,956.6,19.3,72.0,36.0
2022-04-21,30.3,21.2,5.0,956.2,18.5,65.0,31.0
2022-04-22,30.6,20.5,5.9,955.7,17.9,64.0,37.0
2022-04-23,33.2,19.7,7.0,954.0,14.6,49.0,37.0
2022-04-24,34.1,19.2,6.7,951.9,11.5,39.0,50.0
2022-04-25,33.3,20.9,6.5,952.8,13.5,44.0,62.0
2022-04-26,33.2,21.9,6.2,953.9,14.7,47.0,63.0
2022-04-27,33.3,21.4,6.1,954.1,16.1,52.0,61.0
2022-04-28,32.6,22.4,5.8,956.0,18.4,59.0,55.0
2022-04-29,30.7,22.0,5.1,953.8,18.8,65.0,86.0
2022-04-30,26.9,20.5,4.9,954.3,19.1,75.0,74.0
2022-05-01,29.5,20.6,5.4,954.0,18.8,72.0,36.0
2022-05-02,29.7,19.4,5.6,954.2,18.7,74.0,30.0
2022-05-03,29.9,21.5,7.6,955.5,19.0,69.0,23.0
2022-05-04,27.8,21.4,6.0,957.1,19.6,76.0,29.0
2022-05-05,28.0,21.4,7.1,956.3,19.3,76.0,22.0
2022-05-06,28.2,20.5,5.0,956.0,19.1,75.0,26.0
2022-05-07,30.2,20.7,5.0,955.8,19.5,72.0,21.0
2022-05-08,30.3,21.4,5.8,955.1,18.5,65.0,22.0
2022-05-09,31.4,22.0,7.7,954.9,18.1,61.0,32.0
2022-05-10,30.2,22.2,5.8,954.5,20.9,72.0,36.0
2022-05-11,31.4,23.2,5.3,952.7,20.9,69.0,20.0
2022-05-12,32.2,23.1,4.6,951.0,21.6,73.0,36.0
2022-05-13,30.3,23.1,4.8,948.7,21.7,76.0,37.0
2022-05-14,30.3,23.1,4.4,950.2,22.6,81.0,39.0
2022-05-15,32.0,23.2,4.8,951.8,21.9,73.0,43.0
2022-05-16,30.3,22.7,5.4,951.3,22.3,78.0,46.0
2022-05-17,33.1,22.6,5.0,951.3,22.4,74.0,33.0
2022-05-18,34.4,23.5,4.5,952.4,21.0,67.0,19.0
2022-05-19,32.2,22.8,5.5,952.0,20.4,64.0,36.0
2022-05-20,32.7,22.1,4.9,950.7,21.3,76.0,27.0
2022-05-21,29.0,21.2,5.3,948.1,21.0,80.0,25.0
2022-05-22,29.5,19.6,5.6,948.1,19.9,77.0,13.0
2022-05-23,29.7,21.2,4.4,950.6,18.1,65.0,12.0
2022-05-24,30.4,22.3,3.8,953.8,19.7,69.0,25.0
2022-05-25,29.8,21.2,4.5,953.7,18.8,69.0,31.0
2022-05-26,30.0,21.1,3.5,951.8,18.3,67.0,20.0
2022-05-27,31.3,21.4,4.3,949.9,19.0,64.0,24.0
2022-05-28,30.2,22.0,3.9,950.1,19.8,70.0,38.0
2022-05-29,28.5,22.8,5.5,950.8,21.9,84.0,49.0
2022-05-30,29.3,22.7,5.5,951.1,22.1,80.0,48.0
2022-05-31,30.5,22.4,4.6,950.6,21.9,76.0,48.0
2022-06-01,30.4,23.2,4.6,950.9,22.1,76.0,52.0
