time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),surface_pressure_mean (hPa),dew_point_2m_mean (°C),relative_humidity_2m_mean (%)
1/1/2022,19.4,8.9,4.2,965.5,9.3,76
1/2/2022,20.4,7.8,4.1,963.8,8.5,73
1/3/2022,20.4,9,4.6,962.5,8.7,72
1/4/2022,19.6,8.8,4.1,963.2,9.4,73
1/5/2022,20.3,9.3,4.2,963,10.2,72
1/6/2022,19.9,12.7,4.7,962.8,11.6,77
1/7/2022,19.7,13,4.2,963.5,12.1,77
1/8/2022,20.9,13.4,4.2,962.6,11.5,69
1/9/2022,21.4,12.4,4.7,960.9,10.6,69
1/10/2022,21.6,12.1,4.2,962.1,10.7,70
1/11/2022,22.3,10.9,4.3,961.4,10.9,73
1/12/2022,20,9,5,961.3,10.2,81
1/13/2022,18.6,9,4.8,961.8,8.9,75
1/14/2022,18.4,8.1,3.8,962.5,9,76
1/15/2022,18.3,7.2,4.9,962.8,8.7,81
1/16/2022,19.5,7.4,4.8,964.1,9,76
1/17/2022,20.1,9.3,4.1,964.3,9.1,73
1/18/2022,20.5,9.2,4.4,961.6,8.1,68
1/19/2022,20.8,9.7,5,959.2,8,69
1/20/2022,18.3,10.4,3.6,957.5,9.6,77
1/21/2022,17.9,8.5,3.8,958,8.2,73
1/22/2022,18.3,7.6,4,957,9.1,76
1/23/2022,18.7,8,7.2,957.9,10.1,80
1/24/2022,17.5,8.9,4.4,958.2,9.1,76
1/25/2022,18.2,9.5,4.7,958.9,10.8,83
1/26/2022,14.7,6.8,4.9,959.7,9.6,91
1/27/2022,16.2,5.6,5,959.4,7.4,80
1/28/2022,15.4,5.8,5.2,961,7.7,80
1/29/2022,16.9,6.4,4.5,959.9,7.6,79
1/30/2022,16.1,7.5,6.8,957.5,9,83
1/31/2022,18.4,7.6,4.6,957.5,8.6,76
2/1/2022,17.3,6.9,5.1,955.4,7.7,76
2/2/2022,17.4,7.9,7.9,959.1,8.1,77
2/3/2022,18.8,7.9,11.4,958.2,7.5,65
2/4/2022,15.4,10.2,4.5,956.6,9.8,86
2/5/2022,14.7,6.1,4.1,958.3,7.9,83
2/6/2022,18,6.4,4.2,961.2,8,76
2/7/2022,17.4,7.2,4.4,960.6,10,82
2/8/2022,17.4,8.1,4.6,960,10,83
2/9/2022,19.6,7.9,5,960.9,9.9,76
2/10/2022,19.8,10.5,6.2,959.9,8.3,65
2/11/2022,17.7,6.3,5.3,958.8,9.1,81
2/12/2022,19.5,7.3,4.8,959.8,10.1,80
2/13/2022,19.5,8.1,5.3,959.4,10.1,80
2/14/2022,20.7,9.2,4.3,959.6,11,77
2/15/2022,21.4,9.9,5.3,958.1,10,73
2/16/2022,21.2,10.2,5.3,955.8,9.7,73
2/17/2022,20.4,10,5.7,956.4,10.2,74
2/18/2022,21.2,9,5.5,957.9,11.1,79
2/19/2022,21.3,8.8,5.7,956.2,9.3,72
2/20/2022,19.1,9.9,5.8,953.2,8.1,70
2/21/2022,19.4,8.2,5.3,955.8,7.6,69
2/22/2022,19.7,9.1,6.1,962,9.4,72
2/23/2022,21.9,9.8,4.7,963.2,10.6,69
2/24/2022,23.5,12.2,5.7,962.5,11.4,69
2/25/2022,21.1,11.8,5.2,963.2,11,71
2/26/2022,22.7,11.4,4.9,963.9,9.9,67
2/27/2022,24.3,12.4,5.3,961.5,9.4,59
2/28/2022,24.6,11.7,6.1,960.8,9.5,62
3/1/2022,24.2,12.2,5.2,962.4,10.5,64
3/2/2022,24,12.8,5.2,961.9,11.8,70
3/3/2022,25.4,13.2,6.8,961.5,12.3,67
3/4/2022,26.3,12.9,7.9,959.1,9,56
3/5/2022,26.3,12.1,5,958.6,9.9,57
3/6/2022,26.1,13.9,4.6,961.2,12.2,62
